,index,id_orig,id_dest,distance_m,H7X001,H7X002,H7X003,H7X004,H7X005,H7Z010,pop_distance
273,273,410470022011001,poll_2016_3,947.8,58,57,0,0,1,0,54972.399999999994
274,274,410470022011002,poll_2016_3,832.0,10,10,0,0,0,0,8320.0
275,275,410470022011011,poll_2016_3,1770.6,28,28,0,0,0,0,49576.799999999996
276,276,410470022011020,poll_2016_3,661.7,6,6,0,0,0,0,3970.2000000000003
277,277,410470022011021,poll_2016_3,973.0,10,10,0,0,0,0,9730.0
278,278,410470022011023,poll_2016_3,2299.9,71,71,0,0,0,0,163292.9
279,279,410470022011024,poll_2016_3,2853.0,63,58,1,0,2,4,179739.0
280,280,410470022011026,poll_2016_3,2964.3,90,77,0,1,11,1,266787.0
281,281,410470022011028,poll_2016_3,2397.3,27,27,0,0,0,0,64727.100000000006
282,282,410470022011031,poll_2016_3,1733.1,29,27,0,0,1,0,50259.899999999994
283,283,410470022012000,poll_2016_3,729.4,57,48,2,0,1,7,41575.799999999996
284,284,410470022021005,poll_2016_4,1670.3,10,8,1,0,0,1,16703.0
285,285,410470022021012,poll_2016_3,3685.5,18,18,0,0,0,0,66339.0
286,286,410470022021022,poll_2016_4,3884.9,13,13,0,0,0,0,50503.700000000004
287,287,410470022023005,poll_2016_4,937.5,332,303,2,2,5,7,311250.0
288,288,410470022023009,poll_2016_4,1709.9,48,47,0,0,0,2,82075.20000000001
289,289,410470023011006,poll_2016_4,2000.6,119,112,1,0,5,1,238071.4
290,290,410470023012005,poll_2016_4,3573.9,27,27,0,0,0,0,96495.3
291,291,410470023012006,poll_2016_4,3279.8,2,2,0,0,0,0,6559.6
292,292,410470023031000,410470021022,1456.6,100,90,2,1,2,13,145660.0
293,293,410470023031003,poll_2016_4,1760.9,70,54,1,0,1,13,123263.0
294,294,410470023031004,poll_2016_4,1793.4,160,133,2,1,2,17,286944.0
295,295,410470023031008,poll_2016_4,2474.7,61,57,0,0,2,10,150956.69999999998
296,296,410470023031014,410470021022,2679.4,50,49,1,0,0,1,133970.0
297,297,410470023032013,school_523,3601.1,107,92,0,6,3,8,385317.7
298,298,410470023033013,school_523,3563.6,60,53,1,0,0,7,213816.0
299,299,410470023041002,school_523,4775.2,44,39,0,0,5,1,210108.8
300,300,410470023041004,410470021022,3560.0,22,20,0,0,2,3,78320.0
301,301,410470023041010,poll_2016_4,3175.4,109,89,6,0,6,13,346118.60000000003
302,302,410470023041012,poll_2016_4,2846.7,2,0,0,0,1,0,5693.4
303,303,410470023041035,school_523,6134.2,86,74,0,2,0,6,527541.2
