,id_orig,id_dest,distance_m,county,address,dest_lat,dest_lon,orig_lat,orig_lon,location_type,dest_type,population,hispanic,non-hispanic,white,black,native,asian,pacific_islander,other,multiple_races,Weighted_dist,KP_factor,new_location,matching
937,131350501101002,Bogan Park Community Recreation Center,4517.223275582624,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1383668,-83.9977441,EV_2022_2020,polling,4,0,4,4,0,0,0,0,0,0,18068.893102330498,5.015046233706843,0,1.0
946,131350501101003,Bogan Park Community Recreation Center,4655.100516903214,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.141824,-83.9942274,EV_2022_2020,polling,18,4,14,13,0,0,0,0,0,5,83791.80930425785,5.268040784875275,0,1.0
955,131350501101004,Bogan Park Community Recreation Center,4790.576951119467,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1423965,-83.9959129,EV_2022_2020,polling,8,4,4,0,2,0,2,0,1,3,38324.61560895573,5.529057862852989,0,1.0
1036,131350501101015,Bogan Park Community Recreation Center,4552.442777249943,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1388853,-83.9975442,EV_2022_2020,polling,3,1,2,0,2,0,0,0,1,0,13657.328331749828,5.078492146068609,0,1.0
1342,131350501102000,Bogan Park Community Recreation Center,4851.23428660772,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1433514,-83.9952939,EV_2022_2020,polling,10,2,8,8,0,0,0,0,0,2,48512.3428660772,5.650077909254356,0,1.0
1351,131350501102001,Bogan Park Community Recreation Center,5041.739221266005,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1441401,-83.9976868,EV_2022_2020,polling,42,2,40,27,3,0,8,0,4,0,211753.04729317222,6.047656885883165,0,1.0
1360,131350501102002,Bogan Park Community Recreation Center,5015.210766136096,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1437735,-83.9978423,EV_2022_2020,polling,13,1,12,9,1,1,0,0,0,2,65197.73995976925,5.990659205915713,0,1.0
1873,131350501112000,Bogan Park Community Recreation Center,4296.866912022129,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1380503,-83.994151,EV_2022_2020,polling,1,1,0,0,0,0,0,0,0,1,4296.866912022129,4.63569192723289,0,1.0
1882,131350501112001,Bogan Park Community Recreation Center,4184.459298650561,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1323405,-84.0005809,EV_2022_2020,polling,207,3,204,145,52,0,3,0,1,6,866183.0748206662,4.453369857239064,0,1.0
1945,131350501112011,Bogan Park Community Recreation Center,3730.018155274595,Gwinnett_GA,2723 North Bogan Road,34.10593,-83.9682,34.1240434,-84.0023026,EV_2022_2020,polling,55,21,34,14,20,0,0,0,20,1,205150.9985401027,3.7865159565213333,0,1.0
2163,131350501131000,George Pierce Park Community Recreation Center,4588.634153198675,Gwinnett_GA,55 Buford Highway,34.05925,-84.05714,34.0874719,-84.0207926,EV_2022_2020,polling,23,13,10,4,2,0,0,0,11,6,105538.58552356953,5.144525122064213,0,1.0
2172,131350501131001,George Pierce Park Community Recreation Center,4435.079106320736,Gwinnett_GA,55 Buford Highway,34.05925,-84.05714,34.0867463,-84.0222586,EV_2022_2020,polling,3,0,3,3,0,0,0,0,0,0,13305.237318962209,4.870131405222683,0,1.0
2181,131350501131003,George Pierce Park Community Recreation Center,3968.228029155741,Gwinnett_GA,55 Buford Highway,34.05925,-84.05714,34.0847019,-84.0269404,EV_2022_2020,polling,20,5,15,13,4,0,1,0,0,2,79364.56058311481,4.1225684603139925,0,1.0
2190,131350501131004,George Pierce Park Community Recreation Center,4164.439766074582,Gwinnett_GA,55 Buford Highway,34.05925,-84.05714,34.0818648,-84.0211009,EV_2022_2020,polling,625,33,592,333,134,0,120,0,8,30,2602774.8537966134,4.421659247524454,0,1.0
